country,country_code,Acute hepatitis A,Acute hepatitis B,Acute hepatitis C,Acute hepatitis E,African trypanosomiasis,Alcohol use disorders,Alzheimer disease and other dementias,Anxiety disorders,Appendicitis,Ascariasis,Asthma,Autism and Asperger syndrome,Back and neck pain,Benign prostatic hyperplasia,Bipolar disorder,Bladder cancer,Brain and nervous system cancers,Breast cancer,"Cardiomyopathy, myocarditis, endocarditis",Cataracts,Cervix uteri cancer,Chagas disease,Childhood behavioural disorders,Chlamydia,Chronic obstructive pulmonary disease,Cirrhosis of the liver,Collective violence and legal intervention,Colon and rectum cancers,Congenital anomalies,Corpus uteri cancer,Cysticercosis,Dengue,Depressive disorders,Diabetes mellitus,Diarrhoeal diseases,Diphtheria,Drowning,Drug use disorders,Eating disorders,Echinococcosis,Encephalitis,Epilepsy,Exposure to mechanical forces,Falls,"Fire, heat and hot substances",Food-bourne trematodes,Gallbladder and biliary diseases,Gallbladder and biliary tract cancer,Gastritis and duodenitis,Genital herpes,Glaucoma,Gonorrhoea,Gout,Gynecological diseases,HIV/AIDS,Hookworm disease,Hypertensive heart disease,Idiopathic intellectual disability,Infertility,Inflammatory bowel disease,Interpersonal violence,Iodine deficiency,Iron-deficiency anaemia,Ischaemic heart disease,Kidney cancer,Kidney diseases,Larynx cancer,Leishmaniasis,Leprosy,Leukaemia,Liver cancer,Lower respiratory infections,Lymphatic filariasis,"Lymphomas, multiple myeloma",Macular degeneration,Malaria,Maternal conditions,Measles,Melanoma and other skin cancers,Meningitis,Mesothelioma,Migraine,Mouth and oropharynx cancers,Multiple sclerosis,Natural disasters,Neonatal conditions,Non-migraine headache,Oesophagus cancer,Onchocerciasis,Oral conditions,Osteoarthritis,Other hearing loss,Other vision loss,Otitis media,Ovary cancer,Pancreas cancer,Pancreatitis,Paralytic ileus and intestinal obstruction,Parkinson disease,Peptic ulcer disease,Poisonings,Prostate cancer,Protein-energy malnutrition,Rabies,Rheumatic heart disease,Rheumatoid arthritis,Road injury,Schistosomiasis,Schizophrenia,Self-harm,Sickle cell disorders and trait,Skin diseases,Stomach cancer,Stroke,Sudden infant death syndrome,Syphilis,Testicular cancer,Tetanus,Thalassaemias,Thyroid cancer,"Trachea, bronchus, lung cancers",Trachoma,Trichomoniasis,Trichuriasis,Tuberculosis,Uncorrected refractive errors,Upper respiratory infections,Urolithiasis,Vitamin A deficiency,Whooping cough,Yellow fever,Grand Total,year
Russia,RUS,0.00,0.01,0.00,0.00,0.00,19.49,30.00,0.00,0.31,0.00,1.37,0.00,0.00,0.00,0.00,4.31,6.05,16.73,40.99,0.00,5.66,0.00,0.00,0.01,25.96,36.70,0.35,29.28,3.95,4.87,0.00,0.00,0.00,12.93,0.30,0.00,5.79,6.61,0.00,0.10,0.79,0.54,2.51,9.12,5.32,0.00,2.45,2.64,0.31,0.00,0.00,0.06,0.00,0.08,11.04,0.00,13.30,0.00,0.00,0.87,11.47,0.00,0.00,406.89,6.57,8.00,2.87,0.00,0.00,5.83,7.76,25.52,0.00,6.29,0.00,0.00,0.25,0.00,3.86,0.94,0.62,0.00,7.64,0.59,0.06,3.74,0.00,5.04,0.00,0.00,0.00,0.00,0.00,0.00,5.59,13.48,8.67,2.15,6.59,7.06,4.52,9.09,0.15,0.00,2.17,0.52,17.49,0.00,0.00,32.04,0.00,1.86,21.43,232.78,0.51,0.01,0.25,0.00,0.03,0.89,37.92,0.00,0.00,0.00,9.85,0.00,0.13,0.99,0.00,0.00,0.00,1220.94,2015.00
Saudi Arabia,SAU,0.02,0.17,0.02,0.01,0.00,0.37,6.59,0.00,0.10,0.00,3.75,0.00,0.00,0.00,0.00,0.59,1.22,2.47,3.92,0.00,0.46,0.00,0.00,0.00,8.29,14.16,1.38,4.29,8.19,0.90,0.00,0.03,0.00,10.62,1.45,0.00,2.74,1.12,0.01,0.01,0.71,2.20,14.50,16.12,2.78,0.00,0.90,0.55,0.02,0.00,0.00,0.00,0.00,0.00,0.61,0.00,2.43,0.00,0.00,0.10,1.91,0.00,0.00,113.67,0.63,26.06,0.25,0.00,0.00,2.67,2.32,18.83,0.00,1.92,0.00,0.00,0.59,0.00,0.16,0.75,0.09,0.00,1.26,0.14,0.06,7.01,0.00,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.65,1.25,0.61,0.98,2.23,0.89,0.90,0.41,0.26,0.01,0.94,0.02,26.22,0.08,0.00,6.34,0.81,1.54,1.11,50.55,0.54,0.11,0.07,0.04,0.05,0.41,2.12,0.00,0.00,0.00,2.65,0.00,0.00,0.00,0.00,0.21,0.00,394.70,2015.00
Sweden,SWE,0.04,0.08,0.75,0.00,0.00,3.45,92.25,0.01,0.21,0.00,1.57,0.00,0.38,0.53,0.26,7.81,6.70,16.93,5.81,0.00,2.89,0.00,0.00,0.00,41.26,6.84,0.05,32.37,2.40,3.28,0.00,0.01,0.00,17.40,2.65,0.00,1.11,4.23,0.00,0.00,0.00,1.12,0.54,11.34,0.84,0.00,2.83,5.76,0.15,0.00,0.00,0.00,0.12,0.00,0.15,0.00,19.13,0.38,0.00,0.39,1.24,0.00,1.50,175.30,7.00,13.28,0.63,0.00,0.00,8.71,7.33,25.59,0.00,13.95,0.00,0.00,0.05,0.00,6.77,0.28,1.60,0.00,3.90,1.59,0.00,1.66,0.00,5.11,0.00,0.08,0.29,0.00,0.00,0.02,5.49,19.25,1.78,3.01,6.94,3.03,0.18,26.83,0.88,0.00,1.29,1.08,3.20,0.00,0.54,15.73,0.01,1.99,6.57,68.51,0.18,0.00,0.08,0.00,0.01,0.87,38.45,0.00,0.00,0.00,0.26,0.00,0.26,0.00,0.00,0.00,0.00,776.32,2015.00
Thailand,THA,0.00,0.22,0.00,0.00,0.00,0.75,26.51,0.00,0.16,0.00,5.48,0.00,0.00,0.00,0.00,2.25,2.60,8.05,3.63,0.00,7.05,0.00,0.00,0.00,24.48,23.26,0.28,12.25,3.73,1.12,0.00,0.25,0.00,22.65,9.30,0.00,5.50,1.06,0.00,0.00,0.96,0.96,0.88,7.00,0.83,0.00,3.77,10.07,0.27,0.00,0.00,0.01,0.00,0.05,28.04,0.00,2.58,0.00,0.00,0.12,5.20,0.00,0.00,61.30,1.04,32.88,1.18,0.00,0.00,5.36,31.07,38.85,0.00,5.68,0.00,0.04,0.32,0.02,1.48,1.30,0.04,0.00,6.54,0.11,0.00,4.92,0.00,4.07,0.00,0.00,0.00,0.00,0.00,0.01,2.58,2.78,1.46,3.52,5.16,2.15,0.18,3.73,1.14,0.01,0.59,0.25,32.83,0.00,0.00,8.05,0.00,4.23,4.58,62.80,0.21,0.04,0.07,0.19,0.14,0.52,28.27,0.00,0.00,0.00,14.03,0.00,0.01,0.55,0.00,0.12,0.00,597.69,2015.00
Turkey,TUR,0.01,0.08,0.02,0.00,0.00,0.20,17.90,0.00,0.09,0.00,2.94,0.00,0.00,0.00,0.00,5.08,6.08,6.39,1.83,0.00,1.54,0.00,0.00,0.00,29.71,7.09,1.90,11.74,8.15,1.23,0.00,0.00,0.00,20.34,0.92,0.00,0.70,1.05,0.00,0.29,0.22,1.42,1.10,4.85,0.40,0.00,1.49,1.41,0.04,0.00,0.00,0.00,0.00,0.02,0.22,0.00,16.21,0.00,0.00,0.31,4.88,0.00,0.00,98.18,2.85,18.44,2.37,0.00,0.00,5.79,5.06,13.71,0.00,5.54,0.00,0.00,0.16,0.00,1.72,0.35,0.73,0.00,1.53,0.19,0.00,9.07,0.00,1.48,0.00,0.00,0.00,0.00,0.00,0.00,2.50,7.15,0.82,1.55,3.71,0.93,0.44,6.26,0.67,0.02,0.55,0.26,9.89,0.05,0.00,2.27,0.08,0.34,12.48,51.25,0.34,0.07,0.24,0.01,0.07,0.88,41.45,0.00,0.00,0.00,0.77,0.00,0.00,0.05,0.00,0.21,0.00,470.28,2015.00
United States of America,USA,0.16,0.20,2.08,0.01,0.00,3.38,77.50,0.01,0.11,0.00,1.13,0.00,0.30,0.18,0.04,5.79,5.77,14.87,9.94,0.00,2.30,0.00,0.00,0.00,54.71,12.45,0.39,18.96,3.75,2.73,0.00,0.00,0.00,17.12,3.21,0.00,1.15,18.70,0.00,0.00,0.01,0.75,0.76,10.48,0.87,0.00,1.59,1.33,0.08,0.00,0.00,0.00,0.02,0.00,2.04,0.00,18.17,0.13,0.00,0.41,5.72,0.00,0.92,147.66,5.30,24.33,1.34,0.00,0.00,8.07,8.11,18.14,0.00,12.16,0.00,0.00,0.21,0.00,4.56,0.18,0.85,0.00,3.48,1.31,0.09,3.81,0.00,5.42,0.00,0.07,0.16,0.00,0.00,0.00,4.38,13.10,1.17,2.11,8.78,0.93,0.43,10.23,1.58,0.01,1.05,0.69,12.06,0.00,0.17,14.40,0.14,1.49,4.04,45.71,0.42,0.01,0.13,0.00,0.01,0.67,48.38,0.00,0.00,0.00,0.16,0.00,0.06,0.00,0.00,0.00,0.00,717.75,2015.00
Australia,AUS,0.09,0.02,0.13,0.00,0.00,1.54,41.36,0.01,0.13,0.00,1.85,0.00,0.21,0.21,0.04,5.17,6.27,14.25,5.82,0.00,1.46,0.00,0.00,0.00,27.55,4.92,0.06,26.27,3.20,1.51,0.00,0.00,0.00,16.10,0.38,0.00,1.04,5.92,0.00,0.00,0.02,1.29,0.53,7.57,0.31,0.00,1.36,1.31,0.11,0.00,0.01,0.00,0.10,0.00,0.32,0.00,5.56,0.06,0.00,0.97,1.20,0.00,0.47,111.29,4.87,13.57,1.27,0.00,0.00,8.20,6.01,11.17,0.00,11.51,0.00,0.00,0.07,0.01,9.43,0.18,3.19,0.00,3.78,0.58,0.00,3.04,0.00,6.10,0.00,0.06,0.46,0.00,0.00,0.00,4.07,10.92,0.97,2.51,5.54,1.30,0.14,16.06,0.40,0.00,1.48,0.84,6.55,0.00,0.32,11.68,0.00,1.78,5.45,50.79,0.40,0.01,0.11,0.00,0.01,0.57,36.35,0.00,0.00,0.00,0.25,0.00,0.07,0.00,0.00,0.01,0.00,540.07,2010.00
Belgium,BEL,0.11,0.16,0.79,0.01,0.00,3.61,55.42,0.00,0.13,0.00,1.39,0.00,0.32,0.23,0.03,9.99,6.74,25.19,9.94,0.00,2.41,0.00,0.00,0.00,59.82,11.36,0.00,31.72,2.97,3.29,0.00,0.00,0.00,12.80,4.00,0.00,0.69,2.26,0.00,0.00,0.01,2.80,0.51,14.73,0.84,0.00,3.06,1.86,0.12,0.00,0.00,0.00,0.02,0.00,0.59,0.00,6.18,0.20,0.00,1.25,1.47,0.00,1.33,158.72,6.68,19.83,2.24,0.00,0.00,10.49,8.11,41.25,0.00,13.64,0.00,0.00,0.08,0.00,4.49,0.41,2.47,0.00,5.65,1.25,0.02,2.11,0.00,7.93,0.00,0.06,0.50,0.00,0.00,0.01,6.81,15.69,1.52,4.04,8.33,2.29,0.56,16.33,1.75,0.00,2.78,0.46,8.13,0.00,0.43,20.52,0.00,2.71,7.80,72.06,0.39,0.02,0.12,0.02,0.00,0.86,65.78,0.00,0.00,0.00,0.57,0.00,0.10,0.00,0.00,0.00,0.00,806.31,2010.00
Brazil,BRA,0.40,0.46,1.07,0.03,0.00,3.84,8.04,0.00,0.46,0.00,1.45,0.00,0.08,0.34,0.02,1.90,4.60,7.58,8.85,0.00,3.94,2.67,0.00,0.00,25.22,10.46,0.36,7.98,7.06,0.85,0.91,0.42,0.00,25.71,2.78,0.00,2.77,0.87,0.00,0.00,0.04,1.14,0.66,5.97,0.51,0.00,2.36,1.69,0.26,0.00,0.00,0.00,0.02,0.00,6.92,0.00,12.66,0.08,0.00,0.33,31.16,0.01,1.12,73.69,1.49,13.03,2.17,0.19,0.09,3.56,4.27,32.03,0.00,3.96,0.00,0.04,0.93,0.00,1.82,1.02,0.05,0.00,4.05,0.18,0.37,14.51,0.00,4.59,0.00,0.02,0.11,0.00,0.00,0.02,1.64,4.11,2.21,2.16,1.46,1.67,0.10,7.61,3.90,0.00,1.17,0.25,24.27,0.27,0.16,4.98,0.27,1.82,8.01,60.92,0.12,0.07,0.18,0.06,0.02,0.36,12.09,0.00,0.00,0.00,2.94,0.00,0.10,0.00,0.00,0.02,0.00,501.17,2010.00
Canada,CAN,0.04,0.24,1.17,0.00,0.00,2.50,54.10,0.01,0.15,0.00,0.67,0.00,0.20,0.28,0.09,6.45,6.22,16.65,4.33,0.00,1.72,0.00,0.00,0.00,34.24,7.75,0.09,25.82,2.75,2.55,0.00,0.00,0.00,17.53,4.83,0.00,0.85,7.63,0.00,0.01,0.02,0.86,0.69,12.06,0.69,0.00,1.64,1.65,0.16,0.00,0.00,0.00,0.05,0.00,1.01,0.00,4.60,0.15,0.00,0.48,1.64,0.00,0.89,118.91,5.43,14.94,1.35,0.00,0.00,7.81,6.20,15.34,0.00,13.05,0.00,0.00,0.13,0.00,4.47,0.28,1.49,0.00,3.77,1.29,0.01,3.61,0.00,5.89,0.00,0.07,0.38,0.00,0.00,0.01,4.84,11.44,1.17,2.75,5.94,1.17,0.31,12.52,0.60,0.00,1.25,0.76,7.35,0.00,0.29,12.05,0.00,1.21,6.20,41.16,0.17,0.01,0.14,0.00,0.00,0.62,56.99,0.00,0.00,0.00,0.27,0.00,0.05,0.00,0.00,0.00,0.00,599.20,2010.00
Switzerland,CHE,0.02,0.08,0.15,0.00,0.00,2.97,69.58,0.00,0.18,0.00,1.36,0.00,0.61,0.46,0.12,7.48,6.48,19.66,11.50,0.00,1.20,0.01,0.00,0.00,32.56,8.74,0.00,23.77,3.55,2.67,0.00,0.00,0.00,12.66,1.48,0.00,0.67,2.74,0.00,0.15,0.01,1.18,0.54,19.18,0.28,0.00,1.94,2.33,0.20,0.00,0.00,0.00,0.15,0.00,0.58,0.00,26.72,0.29,0.00,1.16,0.66,0.01,0.80,149.47,4.42,11.88,1.14,0.00,0.00,7.59,8.03,15.26,0.00,11.81,0.00,0.00,0.06,0.00,5.41,0.30,2.39,0.00,5.41,1.76,0.19,2.09,0.00,6.01,0.00,0.04,1.79,0.00,0.00,0.03,5.57,15.60,1.08,3.53,9.15,1.93,0.18,19.31,0.54,0.18,1.21,0.84,4.31,0.00,1.48,14.47,0.01,1.17,6.63,52.81,0.11,0.03,0.13,0.01,0.01,1.03,41.78,0.00,0.00,0.00,0.36,0.00,0.06,0.00,0.00,0.00,0.00,685.52,2010.00
China,CHN,0.01,0.21,0.00,0.01,0.00,1.50,15.11,0.00,0.11,0.00,1.85,0.00,0.00,0.00,0.00,2.10,3.64,5.21,1.99,0.00,3.09,0.00,0.00,0.00,75.10,11.34,0.05,13.85,4.88,1.13,0.02,0.00,0.00,9.09,1.02,0.00,4.60,1.11,0.00,0.01,0.28,0.94,2.83,8.24,0.79,0.00,1.00,2.03,1.21,0.00,0.00,0.01,0.00,0.05,3.45,0.00,14.84,0.00,0.00,0.33,1.11,0.00,0.00,100.12,1.28,11.64,1.12,0.00,0.00,4.11,9.95,13.55,0.00,3.25,0.00,0.00,0.42,0.03,1.17,0.55,0.17,0.00,3.40,0.11,0.51,7.55,0.00,17.63,0.00,0.00,0.00,0.00,0.00,0.00,1.36,5.47,0.70,1.07,4.11,3.10,2.14,2.75,0.60,1.42,5.62,0.59,20.27,0.03,0.00,10.24,0.00,0.35,29.98,137.37,0.10,0.18,0.06,0.06,0.20,0.41,39.97,0.00,0.00,0.00,3.72,0.00,0.21,0.17,0.00,0.15,0.00,643.12,2010.00
Germany,DEU,0.15,0.29,0.90,0.03,0.00,6.55,29.52,0.00,0.19,0.00,1.54,0.00,0.47,0.16,0.01,7.50,7.87,24.05,10.62,0.00,2.66,0.00,0.00,0.00,49.82,18.30,0.00,35.68,2.29,2.76,0.00,0.00,0.00,20.46,3.62,0.00,0.51,2.08,0.00,0.24,0.01,2.83,0.46,12.34,0.49,0.00,2.60,4.48,0.42,0.00,0.00,0.00,0.01,0.00,0.61,0.00,31.03,0.01,0.00,2.97,0.94,0.00,0.88,230.47,7.54,27.38,2.01,0.00,0.00,9.95,9.31,25.29,0.00,14.17,0.00,0.00,0.05,0.00,4.60,0.23,1.92,0.00,7.05,1.45,0.00,1.59,0.00,6.93,0.00,0.04,0.28,0.00,0.00,0.01,7.03,19.45,2.31,4.81,8.78,3.53,0.11,17.11,0.28,0.03,2.87,0.52,4.81,0.00,0.17,13.24,0.00,1.41,14.00,78.32,0.15,0.01,0.24,0.00,0.00,0.96,54.28,0.00,0.00,0.00,0.43,0.00,0.14,0.00,0.00,0.00,0.00,873.63,2010.00
Spain,ESP,0.02,0.25,1.82,0.02,0.00,0.73,58.02,0.00,0.18,0.00,2.26,0.00,0.16,0.39,0.05,11.78,6.54,15.35,10.25,0.00,1.99,0.00,0.00,0.00,39.92,10.79,0.00,35.77,2.49,3.21,0.00,0.00,0.00,17.94,1.70,0.00,0.94,1.78,0.00,0.00,0.01,1.08,0.40,4.28,0.41,0.00,4.51,2.82,0.13,0.00,0.00,0.00,0.01,0.00,2.42,0.00,13.08,0.16,0.00,0.41,0.85,0.00,1.23,116.38,4.87,19.47,3.61,0.02,0.00,7.91,10.68,18.70,0.00,10.86,0.00,0.00,0.04,0.00,3.69,0.39,0.87,0.00,5.51,0.46,0.00,1.86,0.00,4.35,0.00,0.03,0.22,0.00,0.00,0.03,4.34,12.78,2.80,4.02,6.96,1.15,0.50,13.82,0.35,0.00,4.05,0.59,5.44,0.00,0.33,6.94,0.01,2.54,14.09,70.39,0.13,0.02,0.15,0.01,0.01,0.78,46.43,0.00,0.00,0.00,0.89,0.00,0.05,0.00,0.00,0.00,0.00,665.68,2010.00
France,FRA,0.06,0.22,0.90,0.03,0.00,5.65,55.09,0.00,0.16,0.00,1.64,0.00,0.36,0.24,0.28,9.76,6.76,22.80,8.89,0.00,2.72,0.00,0.00,0.00,24.01,12.56,0.02,32.79,3.02,3.26,0.00,0.00,0.00,16.16,2.77,0.00,1.68,2.77,0.00,0.07,0.02,2.88,0.50,9.47,0.81,0.00,2.68,2.36,0.06,0.00,0.00,0.00,0.03,0.00,0.85,0.00,8.74,0.22,0.00,1.14,1.00,0.00,1.34,106.98,6.94,16.15,2.42,0.00,0.00,10.70,13.81,22.26,0.00,14.85,0.00,0.00,0.12,0.01,4.79,0.36,1.79,0.00,8.18,0.98,0.12,2.39,0.00,7.73,0.00,0.03,0.37,0.00,0.00,0.04,6.03,15.96,1.75,5.44,8.49,1.52,0.44,17.15,4.94,0.00,2.50,0.59,6.55,0.00,0.70,18.24,0.05,2.51,8.87,58.54,0.31,0.00,0.21,0.01,0.00,0.74,51.08,0.00,0.00,0.00,1.03,0.00,0.04,0.00,0.00,0.01,0.00,681.51,2010.00
United Kingdom of Great Britain and Northern Ireland,GBR,0.03,0.09,0.30,0.01,0.00,2.09,48.29,0.00,0.23,0.00,1.86,0.00,0.27,0.32,0.02,8.95,7.02,21.40,4.97,0.00,2.01,0.00,0.00,0.00,47.81,12.09,0.19,29.32,3.58,3.27,0.00,0.00,0.00,8.41,2.26,0.00,0.49,3.94,0.00,0.00,0.02,1.87,0.65,7.46,0.52,0.00,3.29,1.33,0.41,0.00,0.00,0.00,0.04,0.00,0.44,0.00,6.58,0.00,0.00,2.15,1.60,0.00,0.38,146.57,7.18,8.81,1.37,0.00,0.00,8.26,6.19,51.23,0.00,13.78,0.00,0.00,0.13,0.00,5.00,0.41,4.14,0.00,4.22,1.88,0.00,3.25,0.00,13.85,0.00,0.10,0.47,0.00,0.00,0.02,6.76,12.86,2.01,3.26,8.96,4.51,0.34,19.25,0.14,0.00,1.71,1.33,3.69,0.00,0.16,7.83,0.04,3.34,9.06,81.04,0.31,0.06,0.14,0.00,0.00,0.63,56.71,0.00,0.00,0.00,0.60,0.00,0.07,0.00,0.00,0.00,0.00,737.60,2010.00
Indonesia,IDN,0.83,1.03,0.23,0.07,0.00,0.21,7.65,0.00,0.48,0.01,11.04,0.00,0.00,0.00,0.00,1.05,1.50,7.69,2.99,0.00,6.88,0.00,0.00,0.00,27.60,32.77,0.03,4.98,7.61,0.82,0.00,3.01,0.00,30.61,27.86,0.00,2.36,0.30,0.00,0.00,0.68,0.30,0.85,6.04,0.58,0.00,2.14,0.36,0.04,0.00,0.00,0.02,0.00,0.21,10.08,0.00,17.55,0.00,0.00,0.33,4.87,0.00,0.00,80.68,0.37,14.75,0.55,0.00,0.00,4.34,6.13,22.75,0.00,3.35,0.00,1.46,4.03,3.49,1.13,2.08,0.05,0.00,5.28,0.08,0.53,27.94,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,2.32,1.32,1.19,4.50,2.50,0.89,0.34,1.55,6.96,0.52,0.66,0.12,13.66,0.00,0.00,2.63,0.00,1.02,0.96,112.97,0.44,1.04,0.09,1.81,0.31,0.73,8.24,0.00,0.00,0.00,44.85,0.00,0.02,0.30,0.00,1.10,0.00,616.00,2010.00
India,IND,2.26,0.80,0.18,0.06,0.00,1.67,5.87,0.00,1.06,0.01,14.84,0.00,0.00,0.00,0.00,0.78,1.57,4.50,0.82,0.00,2.90,0.00,0.00,0.03,56.08,20.24,0.15,3.88,9.22,0.37,0.00,1.02,0.00,15.16,71.77,0.02,5.12,0.63,0.00,0.03,4.16,2.67,1.43,14.68,1.94,0.00,0.48,1.58,0.29,0.00,0.00,0.09,0.00,0.26,7.24,0.00,6.76,0.00,0.00,0.29,4.34,0.00,0.00,95.04,0.45,14.13,1.96,0.38,0.00,2.32,1.95,38.70,0.00,2.42,0.00,2.47,4.26,5.24,0.30,5.06,0.13,0.00,8.02,0.14,0.08,56.87,0.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00,1.10,1.46,1.45,3.87,2.29,5.83,0.41,1.74,1.75,0.96,10.22,0.66,17.18,0.00,0.00,14.63,0.32,1.37,5.39,46.36,0.46,0.21,0.12,1.57,0.04,0.43,4.89,0.00,0.00,0.00,40.01,0.00,0.06,0.11,0.00,1.70,0.00,676.17,2010.00
Iran (Islamic Republic of),IRN,0.03,0.49,0.00,0.00,0.00,0.27,9.94,0.00,0.22,0.00,4.73,0.00,0.00,0.00,0.00,1.28,3.45,3.28,2.01,0.00,0.51,0.00,0.00,0.00,11.25,7.26,1.29,3.92,7.33,0.24,0.00,0.00,0.00,10.83,2.84,0.00,1.64,4.96,0.00,0.02,0.24,0.98,3.09,3.27,2.86,0.00,0.61,0.40,0.05,0.00,0.00,0.00,0.00,0.00,3.21,0.00,17.89,0.00,0.00,0.08,4.02,0.00,0.00,96.61,0.49,11.49,1.24,0.00,0.00,4.36,2.67,14.34,0.00,2.69,0.00,0.00,0.39,0.01,0.43,1.23,0.01,0.00,0.61,0.39,0.00,17.30,0.00,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.77,1.66,0.36,0.60,2.35,1.58,1.41,2.81,0.25,0.00,1.06,0.06,32.49,0.00,0.00,6.32,0.33,0.14,9.80,41.78,0.29,0.04,0.09,0.05,0.14,0.26,5.78,0.00,0.00,0.00,1.05,0.00,0.00,0.01,0.00,0.12,0.00,382.80,2010.00
Italy,ITA,1.13,0.61,3.89,0.01,0.00,0.46,41.42,0.00,0.08,0.00,0.81,0.00,0.35,0.33,0.09,10.45,6.83,22.36,8.26,0.00,1.74,0.00,0.00,0.00,44.61,12.92,0.01,34.61,2.49,3.42,0.00,0.00,0.00,31.41,0.67,0.00,0.60,1.29,0.00,0.00,0.01,1.37,0.68,5.26,0.32,0.00,3.12,6.18,0.30,0.00,0.03,0.00,0.03,0.00,1.46,0.00,40.03,0.23,0.00,1.93,0.88,0.01,1.79,163.71,6.39,18.53,3.13,0.00,0.00,10.74,15.86,13.74,0.00,15.06,0.00,0.00,0.02,0.00,4.39,0.18,2.50,0.00,5.02,0.74,0.07,1.98,0.00,3.41,0.00,0.05,0.63,0.00,0.00,0.03,5.39,17.72,1.86,4.29,7.72,1.26,0.31,13.75,0.63,0.00,3.55,0.93,7.32,0.00,0.52,6.88,0.00,1.49,18.49,105.92,0.05,0.02,0.15,0.03,0.07,1.01,56.75,0.00,0.00,0.00,0.63,0.00,0.04,0.00,0.00,0.00,0.00,817.46,2010.00
Japan,JPN,0.08,0.67,3.84,0.01,0.00,0.31,10.44,0.00,0.08,0.00,1.71,0.00,0.33,0.08,0.01,5.67,1.60,10.31,6.15,0.00,2.87,0.00,0.00,0.00,43.42,10.53,0.00,37.13,2.10,2.03,0.00,0.00,0.00,4.23,1.94,0.00,5.57,0.51,0.00,0.00,0.01,0.54,0.53,6.00,1.07,0.00,4.09,14.73,0.08,0.00,0.00,0.00,0.01,0.00,0.05,0.00,4.14,0.05,0.00,0.18,0.37,0.00,0.53,117.77,5.97,30.73,0.81,0.00,0.00,6.68,26.39,99.91,0.00,12.01,0.00,0.00,0.05,0.00,1.18,0.28,0.98,0.00,5.63,0.07,0.00,0.54,0.00,9.72,0.00,0.04,0.04,0.00,0.00,0.01,3.75,22.67,1.11,4.54,4.33,2.65,0.38,8.82,1.38,0.01,2.02,1.35,5.32,0.01,0.38,24.11,0.00,1.10,41.56,103.00,0.11,0.00,0.05,0.00,0.01,1.39,56.32,0.00,0.00,0.00,2.99,0.00,0.14,0.00,0.00,0.00,0.00,792.32,2010.00
Republic of Korea,KOR,0.14,2.36,0.00,0.00,0.00,1.78,15.26,0.00,0.13,0.00,4.09,0.00,0.44,0.20,0.00,2.61,2.68,4.13,2.45,0.00,2.37,0.00,0.00,0.00,15.95,13.90,0.13,17.94,1.34,0.53,0.06,0.00,0.00,18.62,1.36,0.00,1.39,0.28,0.00,0.12,0.03,0.90,1.12,4.69,0.62,0.00,1.97,8.18,0.08,0.00,0.00,0.00,0.03,0.00,0.28,0.00,6.05,0.04,0.00,0.27,1.31,0.00,0.33,47.83,2.35,14.70,0.96,0.00,0.01,3.69,24.64,18.19,0.00,5.21,0.00,0.02,0.14,0.00,0.92,0.10,0.17,0.00,2.22,0.05,0.04,1.77,0.00,3.09,0.00,0.04,0.22,0.00,0.00,0.01,1.95,9.53,0.75,1.21,4.41,1.26,0.38,3.14,0.15,0.04,0.45,0.34,13.71,0.00,0.16,34.01,0.00,1.19,23.23,64.45,0.14,0.05,0.03,0.01,0.04,0.84,34.56,0.00,0.00,0.00,6.10,0.00,0.08,0.00,0.00,0.03,0.00,464.79,2010.00
Mexico,MEX,0.74,0.29,0.61,0.01,0.00,2.62,2.48,0.00,0.53,0.00,1.43,0.00,0.07,0.59,0.00,0.88,1.91,4.79,1.52,0.00,3.99,0.02,0.00,0.00,22.99,22.39,0.11,3.83,11.35,0.43,0.36,0.08,0.00,53.53,3.27,0.00,2.14,0.93,0.00,0.00,0.25,1.58,1.47,2.01,0.59,0.00,2.00,1.57,0.78,0.00,0.00,0.00,0.09,0.00,4.29,0.00,10.34,0.01,0.00,0.21,22.94,0.00,1.99,70.83,1.77,30.94,0.74,0.00,0.01,3.75,4.72,18.11,0.00,3.38,0.00,0.00,0.93,0.00,1.40,0.40,0.21,0.00,0.97,0.24,0.17,13.78,0.00,0.89,0.00,0.08,0.26,0.00,0.00,0.01,1.61,3.18,1.59,1.95,1.03,2.21,0.53,5.22,7.97,0.00,0.80,1.21,14.52,0.00,0.08,4.51,0.03,1.50,5.29,29.92,0.53,0.00,0.39,0.01,0.01,0.58,5.92,0.00,0.00,0.00,2.25,0.00,0.21,0.00,0.00,0.03,0.00,440.68,2010.00
